2016/01/09 11:19:29 #clicks: 6, #undos: 0, #erases: 0, #non best selected: 0
2016/01/09 11:27:19 #clicks: 12, #undos: 0, #erases: 1, #non best selected: 0
2016/01/09 13:21:01 #clicks: 173, #undos: 0, #erases: 6, #non best selected: 1
2016/01/09 16:29:31 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2016/01/09 16:34:54 #clicks: 40, #undos: 0, #erases: 6, #non best selected: 0
2016/01/09 18:01:10 #clicks: 18, #undos: 2, #erases: 0, #non best selected: 0
2016/01/09 18:05:41 #clicks: 21, #undos: 0, #erases: 1, #non best selected: 1
2016/01/09 18:11:11 #clicks: 12, #undos: 0, #erases: 0, #non best selected: 0
2016/01/09 18:38:04 #clicks: 47, #undos: 0, #erases: 17, #non best selected: 2
2016/01/09 19:06:04 #clicks: 32, #undos: 0, #erases: 16, #non best selected: 1
2016/01/09 19:45:22 #clicks: 30, #undos: 0, #erases: 16, #non best selected: 4
2016/01/09 20:04:36 #clicks: 26, #undos: 0, #erases: 13, #non best selected: 2
2016/01/10 11:02:15 #clicks: 68, #undos: 0, #erases: 30, #non best selected: 2
2016/01/10 14:26:13 #clicks: 9, #undos: 0, #erases: 1, #non best selected: 0
2016/01/10 14:40:01 #clicks: 4, #undos: 0, #erases: 1, #non best selected: 0
2016/01/10 14:42:11 #clicks: 8, #undos: 0, #erases: 1, #non best selected: 0
2016/01/10 14:45:09 #clicks: 3, #undos: 0, #erases: 0, #non best selected: 0
2016/01/10 14:54:27 #clicks: 3, #undos: 0, #erases: 0, #non best selected: 0
2016/01/10 15:20:49 #clicks: 22, #undos: 0, #erases: 4, #non best selected: 0
2016/01/10 16:10:44 #clicks: 215, #undos: 0, #erases: 19, #non best selected: 0
2016/01/10 16:18:47 #clicks: 21, #undos: 0, #erases: 0, #non best selected: 1
2016/01/10 16:23:43 #clicks: 22, #undos: 0, #erases: 1, #non best selected: 1
2016/01/10 19:51:00 #clicks: 100, #undos: 0, #erases: 28, #non best selected: 17
2016/01/11 16:03:57 #clicks: 74, #undos: 1, #erases: 8, #non best selected: 4
2016/01/11 16:12:02 #clicks: 98, #undos: 0, #erases: 4, #non best selected: 0
2016/01/11 16:19:37 #clicks: 115, #undos: 0, #erases: 7, #non best selected: 0
2020/09/01 20:35:54 #clicks: 5, #undos: 0, #erases: 0, #non best selected: 0
2020/09/02 09:52:13 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/02 09:56:35 #clicks: 2, #undos: 0, #erases: 0, #non best selected: 0
2020/09/02 10:01:46 #clicks: 86, #undos: 1, #erases: 15, #non best selected: 4
2020/09/02 10:02:37 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/02 10:04:12 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/05 10:13:05 #clicks: 14, #undos: 1, #erases: 0, #non best selected: 0
2020/09/05 10:14:15 #clicks: 14, #undos: 0, #erases: 0, #non best selected: 0
2020/09/05 10:15:53 #clicks: 13, #undos: 0, #erases: 0, #non best selected: 0
2020/09/05 10:16:58 #clicks: 15, #undos: 0, #erases: 0, #non best selected: 0
2020/09/05 10:21:33 #clicks: 87, #undos: 0, #erases: 0, #non best selected: 2
2020/09/05 10:24:09 #clicks: 32, #undos: 0, #erases: 0, #non best selected: 1
2020/09/07 15:41:09 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/07 16:10:56 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/08 14:39:33 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/08 14:47:12 #clicks: 97, #undos: 0, #erases: 0, #non best selected: 8
2020/09/08 14:48:49 #clicks: 32, #undos: 0, #erases: 0, #non best selected: 10
2020/09/08 14:50:25 #clicks: 21, #undos: 0, #erases: 0, #non best selected: 4
2020/09/09 14:29:31 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/09 14:29:36 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/09 14:31:16 #clicks: 31, #undos: 0, #erases: 0, #non best selected: 0
2020/09/09 14:31:52 #clicks: 16, #undos: 0, #erases: 0, #non best selected: 0
2020/09/09 14:33:15 #clicks: 30, #undos: 0, #erases: 0, #non best selected: 0
2020/09/09 14:35:45 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/09 14:44:50 #clicks: 34, #undos: 0, #erases: 0, #non best selected: 1
2020/09/09 14:44:57 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/09 14:50:14 #clicks: 55, #undos: 0, #erases: 0, #non best selected: 5
2020/09/09 14:53:23 #clicks: 42, #undos: 0, #erases: 0, #non best selected: 2
2020/09/09 14:55:01 #clicks: 25, #undos: 0, #erases: 0, #non best selected: 0
2020/09/09 14:55:05 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/09 14:55:50 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/09 15:10:43 #clicks: 48, #undos: 0, #erases: 0, #non best selected: 0
2020/09/09 15:19:37 #clicks: 68, #undos: 0, #erases: 0, #non best selected: 1
2020/09/09 15:20:28 #clicks: 16, #undos: 0, #erases: 0, #non best selected: 0
2020/09/09 15:21:21 #clicks: 9, #undos: 0, #erases: 0, #non best selected: 0
2020/09/09 15:21:36 #clicks: 6, #undos: 0, #erases: 0, #non best selected: 0
2020/09/09 15:21:46 #clicks: 2, #undos: 0, #erases: 0, #non best selected: 0
2020/09/09 15:26:51 #clicks: 46, #undos: 0, #erases: 0, #non best selected: 0
2020/09/09 15:35:18 #clicks: 31, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 09:09:50 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 09:10:03 #clicks: 1, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 09:13:38 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 09:19:54 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 09:20:41 #clicks: 7, #undos: 0, #erases: 0, #non best selected: 20
2020/09/10 09:20:54 #clicks: 2, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 09:22:47 #clicks: 38, #undos: 0, #erases: 0, #non best selected: 14
2020/09/10 09:23:53 #clicks: 19, #undos: 0, #erases: 0, #non best selected: 1
2020/09/10 09:23:56 #clicks: 1, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 09:24:28 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 09:24:41 #clicks: 5, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 09:24:46 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 09:25:10 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 09:25:12 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 09:29:35 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 09:41:03 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 09:41:20 #clicks: 1, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 09:49:17 #clicks: 30, #undos: 0, #erases: 2, #non best selected: 1
2020/09/10 10:03:17 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 10:03:52 #clicks: 14, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 10:06:49 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 10:11:07 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 10:16:44 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 10:24:24 #clicks: 75, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 14:47:13 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 14:57:45 #clicks: 63, #undos: 0, #erases: 0, #non best selected: 9
2020/09/10 14:59:12 #clicks: 33, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 14:59:48 #clicks: 16, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 15:20:18 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 15:21:41 #clicks: 18, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 21:49:20 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 21:51:50 #clicks: 38, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 21:52:15 #clicks: 8, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 21:52:36 #clicks: 10, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 21:56:19 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 22:00:26 #clicks: 36, #undos: 0, #erases: 0, #non best selected: 14
2020/09/10 22:00:56 #clicks: 9, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 22:01:21 #clicks: 5, #undos: 0, #erases: 0, #non best selected: 0
2020/09/10 22:13:16 #clicks: 22, #undos: 0, #erases: 0, #non best selected: 4
2020/09/11 10:40:22 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/11 10:41:04 #clicks: 12, #undos: 0, #erases: 0, #non best selected: 0
2020/09/11 10:41:08 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/11 14:47:44 #clicks: 48, #undos: 0, #erases: 0, #non best selected: 41
2020/09/11 14:48:12 #clicks: 8, #undos: 0, #erases: 0, #non best selected: 0
2020/09/11 14:49:41 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/11 14:52:32 #clicks: 40, #undos: 0, #erases: 0, #non best selected: 2
2020/09/18 22:15:24 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/18 22:15:38 #clicks: 5, #undos: 0, #erases: 0, #non best selected: 0
2020/09/18 22:16:03 #clicks: 17, #undos: 0, #erases: 0, #non best selected: 0
2020/09/18 22:29:55 #clicks: 28, #undos: 0, #erases: 0, #non best selected: 0
2020/09/19 11:23:32 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/19 11:23:44 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/19 11:25:50 #clicks: 24, #undos: 0, #erases: 0, #non best selected: 0
2020/09/19 11:26:20 #clicks: 19, #undos: 0, #erases: 0, #non best selected: 0
2020/09/19 11:26:25 #clicks: 5, #undos: 0, #erases: 0, #non best selected: 0
2020/09/19 11:33:47 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/19 21:25:28 #clicks: 66, #undos: 0, #erases: 0, #non best selected: 2
2020/09/19 21:34:52 #clicks: 102, #undos: 0, #erases: 0, #non best selected: 48
2020/09/19 21:35:24 #clicks: 15, #undos: 0, #erases: 0, #non best selected: 0
2020/09/20 14:37:58 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/20 14:40:56 #clicks: 29, #undos: 0, #erases: 0, #non best selected: 8
2020/09/20 14:40:59 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/20 14:42:53 #clicks: 27, #undos: 0, #erases: 0, #non best selected: 0
2020/09/29 21:04:48 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/09/29 21:28:30 #clicks: 22, #undos: 0, #erases: 0, #non best selected: 1
2020/10/15 16:47:09 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/10/15 16:47:53 #clicks: 20, #undos: 0, #erases: 0, #non best selected: 5
2020/10/15 16:51:46 #clicks: 27, #undos: 0, #erases: 0, #non best selected: 2
2020/10/18 09:38:42 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/10/18 09:40:38 #clicks: 21, #undos: 0, #erases: 0, #non best selected: 3
2020/10/18 09:43:55 #clicks: 20, #undos: 1, #erases: 0, #non best selected: 1
2020/10/18 09:45:10 #clicks: 26, #undos: 0, #erases: 0, #non best selected: 0
2020/10/18 09:49:14 #clicks: 19, #undos: 0, #erases: 0, #non best selected: 2
2020/10/18 09:50:54 #clicks: 21, #undos: 0, #erases: 0, #non best selected: 0
2020/10/19 15:54:48 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/10/19 15:56:02 #clicks: 1, #undos: 0, #erases: 0, #non best selected: 0
2020/10/19 16:04:36 #clicks: 30, #undos: 0, #erases: 0, #non best selected: 16
2020/10/19 16:05:40 #clicks: 20, #undos: 0, #erases: 0, #non best selected: 9
2020/10/19 16:16:57 #clicks: 16, #undos: 0, #erases: 0, #non best selected: 2
2020/10/19 16:31:16 #clicks: 20, #undos: 0, #erases: 0, #non best selected: 1
2020/10/19 16:44:10 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/10/19 16:44:47 #clicks: 13, #undos: 0, #erases: 0, #non best selected: 0
2020/10/19 17:02:32 #clicks: 42, #undos: 0, #erases: 0, #non best selected: 6
2020/10/19 17:03:34 #clicks: 25, #undos: 0, #erases: 0, #non best selected: 3
2020/10/19 17:03:49 #clicks: 7, #undos: 0, #erases: 0, #non best selected: 0
2020/10/19 17:06:00 #clicks: 38, #undos: 0, #erases: 0, #non best selected: 7
2020/10/19 17:07:00 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/10/19 17:10:35 #clicks: 45, #undos: 0, #erases: 0, #non best selected: 8
2020/10/19 17:13:52 #clicks: 37, #undos: 0, #erases: 0, #non best selected: 1
2020/10/19 19:07:43 #clicks: 44, #undos: 0, #erases: 0, #non best selected: 1
2020/10/19 20:37:23 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/10/19 20:38:07 #clicks: 9, #undos: 0, #erases: 0, #non best selected: 0
2020/10/19 20:39:02 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/10/19 20:43:27 #clicks: 49, #undos: 1, #erases: 0, #non best selected: 1
2020/10/19 20:52:30 #clicks: 41, #undos: 0, #erases: 0, #non best selected: 5
2020/10/19 21:27:57 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/10/19 22:44:18 #clicks: 18, #undos: 0, #erases: 0, #non best selected: 1
2020/10/20 10:05:11 #clicks: 0, #undos: 0, #erases: 0, #non best selected: 0
2020/10/20 10:07:29 #clicks: 21, #undos: 0, #erases: 0, #non best selected: 0
2020/10/20 10:07:48 #clicks: 7, #undos: 0, #erases: 0, #non best selected: 0
2020/10/20 10:08:04 #clicks: 8, #undos: 0, #erases: 0, #non best selected: 0
2020/10/20 10:08:18 #clicks: 6, #undos: 0, #erases: 0, #non best selected: 0
2020/10/20 10:14:14 #clicks: 34, #undos: 0, #erases: 0, #non best selected: 0
